lemma,definition
رِشًا,جمع للاسم رَشْوَة
شَوَاهِد,جمع للاسم شَاهِد
كَنَّاز,مبالغة للفعل كَنَز
مَضَابِئ,جمع للاسم مَضْبَأ
سُرْيَالِيّة,اتجاهٌ مُعَاصِرٌ في الفنِّ والأَدب يذْهَب إِلى ما فوق الواقع، ويعوّل خاصةً على إِبراز الأَحوال اللاشعورية.
ثَمْن,مصدر لفعل ثَمَنَ
عَرِيق,الكريم الأَصل: مِنَ الرِّجَال والخيل.
حَسْب,اسم بمعنى كَافٍ.
حَبَشَة,الحَبَش: سكَّان بلاد الحَبَشَة. واحده: حَبَشِيّ.
مِكْحَالاَن,عظمان شَاخصان فيما يلي بطن الذِّراع.
كَمْع,مصدر لفعل كَمَع
حَنْبَلِيّ,من يقلِّد مذْهَب الإِمام أَحمد بن حنبل في الإسلام.
بَشْكِير,فُوطةٌ كبيرةٌ للحمَّام.
قَابِس,طالِبُ النَّار.
نَضَّاخ,مبالغة من نَضَخ.
خَزْعَال,من النُّوق: الَّتِي بها ظَلْع.
مُلاَّغ,جمع للاسم مَالِغ
جَفُول,من النِّساء: العَجُوز الكبيرة.
مُصَفَّى,صفة مشبهة لفعل صَفَّى
أَنْصَار,أَهل مدينة الرَّسول صَلَّى اللهُ عليه وسَلَّم الذين ناصروه حين هاجر إِليهم، وهم خلاف المهاجرين.
جِبَارَة,حِرفة المُجَبِّر.
تَرَع,من الآنية: الممتلئ.
حَكَك,حجارة رِخْوة بيض.
دَخْنَان,الذي غَشِيَهُ الدُّخان فَسَخُن واغبَرّ.
رِهَان,السِّبَاق.
جَنِيّ,ما جُنِيَ لساعته من كلِّ ثمر.
مَدْعَس,المَطْمَع.
أَفْعَى,حيَّةٌ من شرار الحيَّاتِ رَقْشَاءُ، دقيقةُ العُنُق، عريضَةُ الرَّأْسِ، قاتلَةُ السُّمِّ. مؤنَّث وتذكر.
أَخْيَف,صفة مشبهة لفعل خَيِف
خَيَازِبَة,جمع للاسم خَيْزَبَان
قِرَاص,جمع للاسم قُرْص
حَسِيل,الرّذَال مِن كُلِّ شَيْءٍ.
رَجَائِز,جمع للاسم رِجَازَة
غَثَاثَة,مصدر لفعل غَثّ
أَرَامِل,جمع للاسم أَرْمَلَة
هَرَل,الرَّبيب؛ أَي ولد الزَّوجة.  [وهو عِنْد العامَّة: قاروط].
نَهْر,الماءُ العَذب الغزير الجاري.
حِسّ,الإِدراك بإِحدى الحواسّ الخمْس.
صَيْق,مصدر لفعل صَاق
إِبْرِدَة,برد في الجوف.
حَلاَل,المُباح.
نَبِه,صفة مشبهة لفعل نَبِه
نُضُوخ,مصدر لفعل نَضَخ
بَهِيم,الأَسْوَد.
مَحَارِيض,جمع للاسم مِحْرَضَة
تَسَاخِين,المراجل.
رَفْغَاء,صفة مشبهة لفعل رَفِغ
أَرْط,مصدر لفعل أَرَطَ
صِنَّارَة,الحديدة الدَّقيقة المعقَّفَة الَّتِي في رأْس المِغْزَل يُشْبَكُ بها الخيط.
بَاهِظ,من الأُمور: الشَّاقّ.
سَلْط,الشَّديد.
ظُبَة,حَدُّ السَّيْف والسِّنَان والخَنْجَر وما أَشْبَهَهَا.
مَحْبُوك,من الفَرَس وغيره: الشَّديد الخَلْق.
كَابُول,في الهَنْدَسَة: القضيبُ المثبَّتُ من طرف واحد.
القَدِير,اسم من أَسماء الله الحسنى وهو العظيم القُدْرَة. لأَنه الفاعل لما يَشَاء على قَدْر ما تقضي الحكمة لا زَائِدًا عليه ولا ناقصًا عنه.
شَمْر,مصدر لفعل شَمَر
خَوَادِع,جمع للاسم خَادِع
دَاخِل,مِنْ كُلِّ شَيْءٍٍ: باطِنُهُ.
زُبُل,جمع للاسم زَبِيل
أُرْوِيَّة,أنثى الوعول.
رِقَات,جمع للاسم رِقَة
الرَّوَانِي,حَلْوى تتخذ من البيض والدَّقيق والسُّكَّر.
هَنِين,مصدر لفعل هَنَّ
كَمْكَام,قِرْفُ شَجَرة الضِّرْو. [البُطْم]. وقيل لحاؤها.
سِخْنَة,الحَرّ أَو الحُمَّى.
سِبَال,جمع للاسم سَبَلَة
غِيْبَة,أَن تذكر أَخاك من ورائه بما فيه من عيوب يسترها ويسوءه ذِكرُها.
أُرُومَة,أَصْل الشَّجَرة وما يَبْقَى منها في الأرض بعد قَطْعها.
جَلْع,مصدر لفعل جَلَع
رُكْبَان,من السُّنبل: سوابقُه وأَوائلُه الَّتِي تخرج من أَكمامها.
أَعْمَى,صفة مشبهة لفعل عَمِي
جُنْدُب,نَوْعٌ من الجراد يَصِرُّ ويقفز ويطير، تألف المناطق الاستوائية، والمناطق شبه القاحلة، تُتلف المزروعات، وتشكّل خطراً على المحاصيل.
مَضْحَاة,من الأَرْض: البارزة لا تكاد تغيب عنها الشَّمْس.
مَعْسَلَة,الخَلِيَّة.
مَلْبَنَة,مَصْنَعُ الأَلْبان.
طَاحِنَة,ضِرْسٌ من اثني عشر ضرساً تَلِي الضّواحكَ في كلّ شِدْق ثلاثَةٌ من فوق وثلاثة من تحت [أَسفل] وتسمى الأَرحاء.
عِرَاق,من البَحْر والنَّهْر: شَاطِئُه طولاً.
تَيْمَاء,الفَلاَة الوَاسِعَة.
هَبْر,ما انخفض من الأَرْض والرَّمْل عمَّ حولَه.
أُرْعُوَة,نِير المحراث.
ذَقْن,مصدر لفعل ذَقَن
حُدُوث,مصدر لفعل حَدَثَ
هَنْبَى,صفة مشبهة لفعل هَنِب
خَدْر,مصدر لفعل خَدَر
سِمِقّ,الطَّوِيل من الرِّجَال.
مَضَاضَة,مصدر لفعل مَضّ
أَنْبَاذ,جمع للاسم نَبْذ
خُلَطَاء,جمع للاسم خَلِيط
رَقُون,الحِنَّاء.
بَجْم,ثَمر الأَثْل.
فَضَض,من الشَّيْءِ: ما تَفَرَّقَ منه.
وَتَرَان,العَصَبتان بين رؤُوس العُرقوبين إِلى المأْبِضين.
سَنِب,من الخيل: الكثير الجرْي الجواد.
بَرَاصِيم,جمع للاسم بُرْصُوم
فَرَث,مصدر لفعل فَرِث
قَهْقَرَة,الحنطَّة الَّتِي اسودَّت بعد الخُضْرة.
مَلاَحِيج,جمع للاسم مَلْحُوجَة
شَبَائِب,جمع للاسم شَبَّة
طَنًى,مصدر لفعل طَنِي
كَثْب,مصدر لفعل كَثَب
هَرَاس,شجرٌ كبيرٌ من الفَصِيلة القَرْنية، يَنبُتُ في مصر والنّوبة والحبشة والسِّنغال، قشرهُ أَبيضُ أَو رماديُّ ناصل، وأَغصانه مُلْسٌ غير مزغّبة أَو عليها زَغَبٌ قصير، وله أذيناتٌ متحولة إِلى أَشواك لا تزيد في طولها على سنتيمترين، والنّورة مسنبلةٌ إِبطيةٌ في شبه رأْس، والأَزهار بيضٌ أَو مشوبةٌ بصفرة خفيفة، عطرية، والثَّمرة قرظة متقوّسة ملساء برتقالية اللون، تعرف في السّودان بالخُزامى.
إِنًى,مصدر لفعل أَنَى
سَنَاهِيَّة,في الاقتصاد: مبلغٌ ثابت يُدفع في أَوقات متتالية بشروط مدوَّنة، ويكون الدفع سنويًا في الغالب، وقد يكون الدَّفع فَتْرِيًّا.
سَئِد,صفة مشبهة لفعل سَئِد
شَتَر,مصدر لفعل شَتِر
قَرْظ,مصدر لفعل قَرَظ
قَنَص,المَصِيد.
صَيْرَفِيّ,صَرَّاف الدَّراهم.
عَجًا,مصدر لفعل عَجِي
حُلُؤ,جمع للاسم حَلُوء
رَجُل,الذَّكر البالغ من بني آدم.
جُنْح,من اللَّيْل: جِنْحُه.
مَسَاق,مصدر لفعل سَاق
دَخَانِس,جمع للاسم دَخْنَس
طَلاَقَة,مصدر لفعل طَلُق
سَكَارِج,جمع للاسم سُكُرُّجَة
خُفُوض,جمع للاسم خَفْض
ظَرْفِيَّة,حلول الشَّيْءِ في غيرِه، حقيقةً نحو: الماء في الكوز.
أُفْق,النَّاحية.
أَعْنِجَة,جمع للاسم عِنَاج
الجَبَّار,اسم من أَسماء الله الحُسْنَى، وهو العالي الذي لا يُنال، صاحب الجبروت والتَّكبُّر، المصلح للأمور.
جُوَدَاء,جمع للاسم جَوَاد
بَطَارِكَة,جمع للاسم بَطْرَك
صَارّ,الشَّجَر الملتفّ الظَّلِيل.
خُطَط,جمع للاسم خُطَّة
شُرُود,مصدر لفعل شَرَد
مِنْقَل,الخُفُّ.
أَحْضَاج,جمع للاسم حِضْج
بُرْعُوم,البُرْعُم: في علم النَّبَات: بُداءة زهرة أَو بُدَاءة فرع، وتتركب في كلتا الحالتين من أَوراق متراكبة.
مَخَالِيف,جمع للاسم مِخْلاَف
نُبُوت,مصدر لفعل نَبَت
فَظَاظَة,مصدر لفعل فَظّ
تَهْيَام,مصدر لفعل هَام
كِبَا,الزَّبَد المتكاثف في جنبات الماء.
مِنْجَر,الشَّديد السَّوق للإِبل.
سَابَاطَات,جمع للاسم سَابَاط
أَقْذَع,من الكَلاَم: القبيح السَّيِّئ.
مَضَاغ,ما يُمْضَغ.
بَدَل,في النَّحوِ: التَّابعُ المقْصُودُ بالحُكْم بلا واسطة، مثل: الخليفةُ الثَّاني عُمَرُ.
قَنْوَاء,صفة مشبهة لفعل قَنِي
خَيْمَات,جمع للاسم خَيْمَة
ظِلاَل,من البَحْر: أَمواجه.
سَاعِل,موضع السّعال من الحلق.
مُتَعَيِّش,من لَهُ بُلغةٌ من العَيش.
حَاقِب,الذي يَحبس غائطَه.
عُمُد,جمع للاسم عِمَاد
مَنْتِح,موضع النَّتْح.
رَبَذَة,خِرقة الحائض.
خَالِم,المستوي الذي لا يفوت بعضُه بعضاً.
مِطْرَد,الرُّمْح القصير يُطْعَن به الوحْش.
بُرْطُلَة,المِظَلَّة الصَّيْفِيَّة.
أَمَة,المَرْأَة المملوكة، خلافُ الحُرَّة.
دَعَّار,مبالغة للفعل دَعَر
ذَهِن,صفة مشبهة لفعل ذَهَب
صِيَق,جمع للاسم صِيق
سِجَال,جمع للاسم سَجْل
قُحَارِيَة,من الرِّجَال: العَظِيم الخَلْق.
فُضَالَة,البقيَّة من الشَّيْءِ.
فُلَّيْق,من الخوخ والمشمش ونحوه: ما يتفلَّقُ من نواه.
خِنْيسِير,الضَّعِيف من النَّاس.
مَغْطِس,موضع الغَطس في الحمام ونحوه.
عِبَر,جمع للاسم عِبْرَة
أَخْرَب,المشقُوق الأُذُن.
مِخَدَّة,حديدة تُشقُّ بها الأَرْضُ.
قَهِم,صفة مشبهة لفعل قَهِم
وُرُوع,مصدر لفعل وَرُع
أَرُومَة,أَصْل الشَّجَرة وما يَبْقَى منها في الأرض بعد قَطْعها.
قُنْصُل,النَّائِبُ عن دولة في دولة أُخرى يرعى حقوقَها وتجارتَها ويدافع عن رعيتها، ومرتبتُهُ دونَ مرتبة الوزير المفوّض، ومرتبةُ هذا دون مرتبة السَّفير.
خَطَّاء,الكثير الأَخطاء، أَو الخَطَايا.
حُكَأ,جمع للاسم حُكَأَة
مَرْبِض,اسم مكان.
أَرْسُن,جمع للاسم رَسَن
حَضَائِر,جمع للاسم حَضِيرَة
مِسْحَل,المُنْخُل.
دَغْفَل,الوَاسِع المُخْصِب.
إِمَاء,مصدر لفعل أَمَا
أَرْدَان,جمع للاسم رُدْن
بَهَالِيل,جمع للاسم بُهْلُول
ضُعْف,ضِدُّ القُوَّة.
أَشْطَان,جمع للاسم شَطَن
قُطْن,ثمرتُهُ وهي مادَّةٌ بيضَاءُ وبَرِيَّة ناعمة، أَوبارها متداخلة، تختلف في الطول والمتانة وتشتمل على بذور تَلْتَصِقُ بها، تُحْلَجُ فتخلَّص من البذور، وتُغْزَل خيوطًا تُصنع منها الثِّيَاب.
مِعْزَى,ذو الشَّعْر من الغَنَم خلاف الضَّأْن، وهو اسم جنس. الواحدة: مِعْزَاة.
بِهَام,جمع للاسم بَهْمَة
