lemma,definition
صَلاَة,الدُّعاء.
مَدَاك,ما يُسْحَق عليه أَو فيه الطِّيب.
تَلَفُّظ,تموجات هوائية مصدرها في الغالب الحنجرة تشكّلها أَعضاءُ الصَّوت.
عَادَة,قُدرةٌ مُكْتَسَبَة على أداء عَمَلٍ بطريقة آليَّة، مع السُّرعة والدِّقّة والاقتصاد في المجهود. أو كلُّ ما اعتيد حتى صَار يُفْعَل من غير جهد.
لَوَاحِم,جمع للاسم لاَحِم
خِدِيوِيَة,منصب الخِدِيوِي.
مُجَرَّدَات,جمع للاسم مُجَرَّد
مَوْت,ضدّ الحياة.
خِمِّير,المُكْثر من شرب الخَمْر دائمًا. (صفة غالبة).
حُبْن,جمع للاسم حَبْنَاء
فَحْصَة,النُّقْرَة تكون في الذَّقَنِ أَو الخَدَّين.
بَلاَّن,الحَمَّام.
سَرَاح,التَّسريح.
خَصَر,مصدر لفعل خَصِر
قَصَّابَة,أداةٌ تَجُرُّها الدَّوَابُّ أَو قُوَّة آلية، وتُسْتعمل لقَطع الأَرْض وتسويتها.
وُكْرَة,المَورَدةُ إِلى الماء.
إِمْلاَك,التَّزويج.
عَوَان,المَرْأَة الَّتِي كان لها زَوْجٌ.
خِنَّب,من الرِّجَال: الطَّويلُ الضَّخْم
ذِكْر,الصِّيت.
سُمْك,من الشَّيْء: غلظه وثخانته.
تَلْعَة,ما ارتفع من الأَرْض.
جُشَّار,جمع للاسم جَاشِر
مَرَافِق,جمع للاسم مَرْفِق
جِيْفَة,جثَّة المَيِّت إِذا أَنْتَنت.
قِفَار,جمع للاسم قَفْر
أَفِق,صفة مشبهة لفعل أَفِقَ
فِلَق,جمع للاسم فِلْقَة
حُسَبَاء,جمع للاسم حَسِيب
زَوِيم,المُجْتَمِع مِنْ كُلِّ شَيْءٍ.
أَصْد,مصدر لفعل أَصَدَ
لَصْغ,مصدر لفعل لَصَغ
بَرَش,مصدر لفعل بَرِش
أَذْبَاح,جمع للاسم ذَبْح
رَقِيح,صفة مشبهة لفعل رَقَح
نَتَائِج,جمع للاسم نَتِيجَة
دَبُّوس,عمودٌ على شكل هِرَاوة مُدَمْلكة الرَّأْس.
خِفَاج,جمع للاسم خَفِيج
عُلْف,شَجرٌ يمنيٌّ ورقُهُ كالعِنَب، يُكبَس ويُجفَّف ويُطبخُ به اللَّحْم عوضاً عن الخلّ.
مُجَنَّبَة,من الجيش: المُقدَّمة.
هَمَاهِم,الهُموم.
قَنُوع,الكثير القَناعة.
ضُلْع,جمع للاسم أَضْلَع
حَوَارٍ,جمع للاسم حَارَة
قُتُون,مصدر لفعل قَتَن
ثَعْد,الغَضُّ الطريّ من البقل.
أَصْبَاب,جمع للاسم صَبَب
نُخَرَة,مقدِّمةُ الأَنْف.
خُرْعُوبَة,من الغُصُون: الطَّويلُ النَّاعمُ الحديثُ النَّبْت.
شِمَّخْر,الجَسِيم من الرِّجَال أَو الفحول.
أَضَاخِيم,جمع للاسم أُضْخُومَة
نَتِيلَة,الوسيلة.
مَصَارّ,الأَمعاء.
جِلِسْرِين,سائلٌ لَزِجٌ، حُلو الطَّعم، لا لون له، يمتزج بالماء.
حَامِرَة,أَصحاب الحمير.
لِكَاك,الزِّحام.
ضَغَاثَة,النُّفَايَة من المال وغيرِه.
لاَحِقَة,الثَّمر بعد الثَّمر الأَوَّل.
لَبِث,صفة مشبهة لفعل لَبِث
دَحَامِسَة,جمع للاسم دُحْمُسَان
مَطَامِح,الآمال.  جمع مَطْمَح.
بُكْرَة,أَوَّل النَّهَار إِلى طلوع الشَّمْس. والعامّة يسمّون يَوْمَ الغدِ كلِّه بُكْرَة، وباكراً.
فَقْص,مصدر لفعل فَقَص
بَزَّة,مصدر لفعل بَزّ
قُلَف,جمع للاسم قُلْفَة
مآزِر,جمع للاسم مِئْزَر
حَنْط,مصدر لفعل حَنَطَ
أَصْنَاف,جمع للاسم صِنْف
نَعَس,مصدر لفعل نَعَس
كِيْص,الضَّيِّق الخُلُق.
جَارُود,المشؤوم على المجاز.
مَجَادِيف,جمع للاسم مِجْدَاف
زَرَازِير,جمع للاسم زُرْزُور
تَصَوُّرِيَّة,في الفلسفة: المذْهَب القائل بأَن الكليات لا توجد إِلا في الذِّهْن، وهو يقابل مذْهَبي الواقعية والاسمية.
عَنْوَة,القَهْرُ والقَسْر.
مَغْي,مصدر لفعل مَغَى
كَسْرَة,الهزيمة.
أُتُوب,جمع للاسم إِتْب
قَوَاء,القَفْر من الأَرْض، أو الأرض الخالية.
غَرَانِيق,جمع للاسم غُرَانِق
رَبُوض,من الشَّجَر: العَظِيمة الغليظة.
مَرَاصِيف,جمع للاسم مِرْصَافَة
رَآبِيل,جمع للاسم رِئْبَال
نُفَّاخ,الوَرَم من داء يأْخذ حيث أَخَذ.
وِشَايَة,مصدر لفعل وَشَى
مُضِلّ,السَّراب، لأَنه يُضِلّ ويَخدع من رآه.
ذُبْذُب,ما عُلِّق بالهودج أَو رأْس البَعِير للزِّينة.
مَنَاخِيس,جمع للاسم مِنْخَاس
جُلَّنَار,زهر الرُّمَّان.
مِلْكَد,شِبْهُ مِدَقٍّ يُدَقُّ به.
دَالِب,الجمرةُ لا تَطْفَأ.
سِكَّة,السَّطر المُصطَفّ من الشَّجَر والنَّخيل.
مَآكِيل,جمع للاسم مِئْكَال
فَقَاقِيع,جمع للاسم فُقَّاعَة
مَحْنِيَّة,من الوادي: مُنْعَطَف الوادي.
زَنْبَاء,صفة مشبهة لفعل زَنِب
زَاوُوق,الزِّئبق.
ذَرِب,السَّليط اللِّسَان.
عَمَاء,السَّحَاب.
مَجُوف,الضَّخم الجوف.
خَشَم,المُخاطُ يسيل من الخَياشيم.
مِذْرَاع,من الدَّابَّة: قائمتها.
مُفْرَد,ثَوْرُ الوحْش.
مِسْأَب,الزِّقّ.
حَتْو,مصدر لفعل حَتَا
حُمُوشَة,مصدر لفعل حَمُشَ
مِبْعَر,مكانُ خروج البَعْر من الأَمعاء.
أُسَارَى,جمع للاسم أَسِير
فَدْعَاء,صفة مشبهة لفعل فَدِع
صَاغَة,جمع للاسم صَائِغ
تُفُوه,مصدر لفعل تَفِهَ
أَخْوَاء,جمع للاسم خَوّ
خَزِين,صفة مشبهة لفعل خَزَن
رَوَازِق,الجَوَارِح من الكِلاَب والطَّيْر.
هَيْضَلَة,المَرْأَة النِّصْف المتوسِّطة في السِّنّ.
وِجَادَة,في اصطلاح المحدثين: اسمٌ لما أُخذ من العِلْم من صحيفةٍ، من غير سَماعٍ ولا إِجازة ولا مُناولة.
أَجْحَم,صفة مشبهة لفعل جَحِم
بَهِيمَة,كل ذات أَربع قوائم من دوابّ البَرّ والبَحْر، ما عدا السِّباع.
شَهْبَاء,الأرض المغطاة بالثُّلُوج.
اسْتِرْوَاح,في الطِّبّ: إِدخال الهواء في أَحد تجاويف الجسم.
وِكَالَة,أَنْ يَعْهَدَ إِلى غيره أَنْ يعمل له عملاً.
عُبَاهِر,العَظِيم.
مِلاَح,أَن تَهُبَّ الجنوبُ بعد الشَّمال.
مَحَجَّة,الطَّريق المستَقيم.
القُرْآن,كلامُ الله المُنَزَّل على رسوله محمّد صَلَّى اللهُ عليه وسَلَّم وحْيًا، المكتوب في المصاحف، والمحفوظ في الصُّدُور، عدد سوره (114) سورة، ويُقسم إلى ثلاثين جزءًا، وهو المصدر الأوَّل من مصادر التَّشْرِيع الإسلامي.
نَقَّالَة,شِبه سريرٍ يُنقَل عليه المَرِيْض أَو المصاب محمولاً.
سَوَاهِج,جمع للاسم سَاهِج
غَاصّ,صفة مشبهة لفعل غَصّ
أَنْوُر,جمع للاسم نَار
آتَاء,جمع للاسم إِتاء
بُدَائِيَّة,في علم الاجتماع: الطَّور الأَوَّل من أَطْوار النُّشوء.
تَنْضُب,نباتٌ بَرِّيٌّ معمَّر من الفَصِيلة الكَبَرِيَّة. واحدته: تَنْضُبَة
رُفُود,جمع للاسم رَفْد
تَقْطِيع,مَغْصٌ في البَطْن.
هَوْقَة,حُفْرَةٌ يجتمع فيها الماء ويكثر فيها الطِّينُ وتأْلفها الطَّير.
سَافِلَة,مؤنَّث سَافِل.
فِطَن,جمع للاسم فِطْنَة
قِضَّة,أَرضٌ منخفضةٌ ترابُها رمْلٌ وإِلى جانبها مَتْنٌ مرتفع.
أَوْفَى,الأَتَمُّ.
غُلَف,جمع للاسم غُلْفَة
نُعْمَى,الخَفْض والدَّعَة.
رَوْعَة,المَسْحَة من الجَمَال.
كَهَام,صفة مشبهة لفعل كَهَم
شَاقّ,العسير الصَّعب.
فَهِيم,صَاحِب الفَهْم.
حَصَد,اشْتداد الفَتْل واستِحكام الصِّناعة في الأَوتار والحبال والدُّروع.
نَيْسَان,الشَّهْرُ الرَّابع من شُهور السَّنة الشَّمْسيَّة الرّومية المِيلادِيَّة، وهو من شهور فصل الرَّبيع. ومدَّته ثلاثون يَوْمًا. ويقع بعد آذار وقبل أيار. ويدعى أَبريل، ويقابله الشَّهْرُ السَّابِع من شُهور السَّنة السُّرْيانِيَّة.
وَطّ,مصدر لفعل وَطّ
هِرْمَاس,الأَسَد الجريء الشَّديد العادي على النَّاس.
هَشِيم,المهشوم المتكسِّر.
لَسْد,مصدر لفعل لَسَد
حُبُوب,جمع للاسم حَبّ
شُفُوف,مصدر لفعل شَفّ
شَمْلَة,شُقَّة من الثِّيَاب ذات خَمْل يُتَوَشَّح بها ويُتلفَّع.
خَوْر,مصبُّ الماء في البَحْر.
مَهِيع,الطَّرِيق الواسِع البَيِّن.
هُرْدِيّ,المصبوغ بالهُرْد: [الكُرْكُم].
أَحْقُب,جمع للاسم حَقَب
وَرِيخَة,المسترخي من العَجين لكثرة مائِه.
خَبَائِش,جمع للاسم خُبَاشَة
ظِنَن,جمع للاسم ظِنَّة
لَهِج,صفة مشبهة لفعل لَهِج
سَبَل,المَطَر الهاطل.
أَسْمِقَة,جمع للاسم سَمِيق
جَعْب,مصدر لفعل جَعَب
فَعْم,الممتلئ.
وَبِرَة,صفة مشبهة لفعل وَبِر
إِتاوة,مصدر لفعل أَتَا
المُهَيْمِن,من أَسماء الله تعالى، بمعنى الرَّقيب المسيطر على كلِّ شيء الحافظ له.
خَبَّة,خِرقَةُ طَّويلة كالعِصَابة تَعصِب بها اليد.
تَفَايئ,جمع للاسم تَفِيئَة
أَجْوَق,صفة مشبهة لفعل جَوِق
خَشَّاء,موضع النَّحل.
شَمَامِسَة,جمع للاسم شَمَّاس
أَلِيق,مصدر لفعل أَلَقَ
دِحْ دِحْ,كَلِمَةٌ تقال للْمُقِرِّ إِذا تكلَّم: بمعنى اسكت فقد أَقْرَرْتَ.
قُنْعَان,من الرِّجَال: الذي يُنتَهَى إِلى رأْيه وقضائه.
مُدَمَّى,الشَّديدُ الحمرة.
سَمْط,الرَّجُل الفقير الخفيف الحال.
زُلْقُم,البَحْر.
خَبُوس,مبالغة للفعل خَبَس
مَجَادِل,جمع للاسم مِجْدَل
سَكْبَة,الخِرقَةُ تُقَوَّر للرَّأْس كالشَّبكة.
حَرِير,الخيط الدَّقيق تفرزه دودة القَزِّ.
أَسْخَم,الأَسود.
فَوَاصِل,جمع للاسم فَاصِلَة
قَطَاط,حَسْبِي.
فَطَس,مصدر لفعل فَطِس
جُفُر,جمع للاسم جَفِير
شَرْهَى,صفة مشبهة لفعل شَرِه
دَغْفَلِيّ,المُخْصِب.
كَيْسَان,اسم للغَدْر، وكنيته: أَبو كَيْسَان.
مِرْآب,مبالغة للفعل رَأَب
وَجَنَة,ما ارتفع من الخَدَّين.
بَصَر,العَيْن.
سَوَالّ,جمع للاسم سَالّ
رِدْفَان,اللَّيْل والنَّهَار.
شَاع,المنتشر.
هُنَاع,داءٌ يُصِيبُ الإِنْسَانَ في عنقه.
سِدَر,جمع للاسم سِدْر
شَصْر,مصدر لفعل شَصَر
أَغَنّ,الذي يتكلَّم من قِبَل خياشِيمِه.
مَدَابّ,جمع للاسم مَدَبَّة
تُغُور,مصدر لفعل تَغَرَ
شُوْع,شَجر البَان. أَو ثَمره. (والثَّمَرَة قد تسمى باسم الشَّجَرة).
ضَلَل,الماء الجاري تحت الصَّخرة لا تصيبه الشَّمْس.
تَرَابُط,في علم الفلسفة: قيام علاقة بين مُدْرَكَيْن لاقترانهما في الذِّهْن بِسَبب مّا.
حَوِيّ,استدارةُ كل شيء.
نَفِير,الكُفْءُ في المفاخرة.
حَمَّام,ما يُغْتَسَلُ فيه.
نُذُر,جمع للاسم نَذِير
نَزِيك,المَعِيب.
فُرَاتَان,نهرا دجلة والفُرات.
جَبَلاَت,جمع للاسم جَبْلَة
سَنْدَان,ما يطْرُقُ الحدَّاد عليه الحديد.
لاَعِن,من يَتَأَتَّى منه السُّخْط على من يَرْتكِبُ الشَّرّ.
نَوِيم,المُغَفَّل.
لُعْمُوظَة,الذي يخدُم بطعامِ بطنِه.
فُقُر,جمع للاسم فَقِير
خُفُوت,مصدر لفعل خَفَت
قَرِينَة,النَّفْس.
